Starts with Symbol,Abbreviations,Contains Numbers or Symbols,Exceeds 20 Characters,Less than 2 Characters
!EXCLAMATION-POINT,A.,A42128,ANTIDISESTABLISHMENTARIANISM,A
"""CLOSE-QUOTE",AL.,AIR_FORCE,DEINSTITUTIONALIZATION,A
"""DOUBLE-QUOTE",AL.,AL_AMEIN,SUPERCALIFRAGILISTICEXPIALIDOCIOUS,B
"""END-OF-QUOTE",B.,C1,,C
"""END-QUOTE",C.,C2,,D
"""IN-QUOTES",C.O.D.,C3,,E
"""QUOTE",CO.,C4,,F
"""UNQUOTE",CO.,C5,,G
#HASH-MARK,CONN.,CAT-1,,H
#POUND-SIGN,CONN.,CAT-2,,I
#SHARP-SIGN,CORP.,CAT-3,,J
%PERCENT,CORP.,CAT-4,,K
&AMPERSAND,CR.,CAT-6,,L
'ALLO,D.,COSTA_RICA,,M
'APOSTROPHE,DR.,CUL_DE_SAC,,N
'BOUT,DR.,DES_MOINES,,O
'CAUSE,E.,D_C,,P
'COURSE,F.,Dï¿½Jï¿½,,Q
'CUSE,G.,HILTON_HEAD,,R
'EM,H.,HORS_D'OEUVRE,,S
'END-INNER-QUOTE,I.,HORS_D'OEUVRES,,T
'END-QUOTE,IN.,I_P,,U
'FRISCO,IN.,I_R_A,,V
'GAIN,INC.,KEY_LARGO,,W
'INNER-QUOTE,J.,KEY_WEST,,X
'KAY,JAN.,KLAMATH_FALLS,,Y
'M,JAN.,LANAI_CITY,,Z
'N,K.,LAS_VEGAS,,
'QUOTE,L.,LA_CARRE,,
'ROUND,M.,LA_CROSSE,,
'S,MASS.,LA_GUARDIA,,
'SINGLE-QUOTE,MASS.,LA_NINA,,
'TIL,MESSRS.,LA_PAZ,,
'TIS,MESSRS.,LA_QUINTA,,
'TWAS,MR.,LITTLE_ROCK,,
(BEGIN-PARENS,MRS.,LONG_BEACH,,
(IN-PARENTHESES,MS.,LONG_ISLAND,,
(LEFT-PAREN,MSSRS.,LOS_ANGELES,,
(OPEN-PARENTHESES,N.,LOS_PALMAS,,
(PAREN,O.,M-8,,
(PARENS,P.,M-80,,
(PARENTHESES,P.M.,M1,,
)CLOSE-PAREN,PROF.,M2,,
)CLOSE-PARENTHESES,Q.,M3,,
)END-PAREN,R.,M4,,
)END-PARENS,REP.,M5,,
)END-PARENTHESES,S.,MOUNT_EVEREST,,
)END-THE-PAREN,ST.,N92762,,
)PAREN,ST.,NEW_BEDFORD,,
)PARENS,T.,NEW_BERN,,
)RIGHT-PAREN,U.,NEW_CALEDONIA,,
)UN-PARENTHESES,V.,NEW_DELHI,,
+PLUS,V.A.,NEW_HAMPSHIRE,,
",COMMA",W.,NEW_HAMPSHIRE'S,,
--DASH,X.,NEW_HAMPSHIRITE,,
-DASH,X.,NEW_HAMPSHIRITES,,
-HYPHEN,Y.,NEW_HAVEN,,
...ELLIPSIS,Z.,NEW_JERSEY,,
.DECIMAL,,NEW_JERSEY'S,,
.DOT,,NEW_LONDON,,
.FULL-STOP,,NEW_MEXICO,,
.PERIOD,,NEW_MEXICO'S,,
.POINT,,NEW_ORLEANS,,
/SLASH,,NEW_ORLEANS,,
3-D,,NEW_YORK,,
3D,,NEW_YORK'S,,
:COLON,,NEW_YORK_CITY,,
;SEMI-COLON,,NEW_ZEALAND,,
;SEMI-COLON,,N_WORDS,,
?QUESTION-MARK,,PAGO_PAGO,,
{BRACE,,PORT_AU_PRINCE,,
{LEFT-BRACE,,PUERTO_RICAN,,
{OPEN-BRACE,,PUERTO_RICAN,,
}CLOSE-BRACE,,PUERTO_RICANS,,
}RIGHT-BRACE,,PUERTO_RICANS,,
,,PUERTO_RICO,,
,,PUERTO_RICO,,
,,PUGET-1,,
,,ST_CHARLES,,
,,ST_CLAIR,,
,,ST_CLAIRE,,
,,ST_CYR,,
,,ST_CYR,,
,,ST_DENIS,,
,,ST_DENNIS,,
,,ST_GEORGE,,
,,ST_GERMAIN,,
,,ST_GERMAINE,,
,,ST_GERMAINE,,
,,ST_HILAIRE,,
,,ST_JACQUES,,
,,ST_JACQUES,,
,,ST_JAMES,,
,,ST_JEAN,,
,,ST_JOHN,,
,,ST_JOHNS,,
,,ST_JULIEN,,
,,ST_LAURENT,,
,,ST_LAURENT,,
,,ST_LAWRENCE,,
,,ST_LOUIS,,
,,ST_LOUIS,,
,,ST_LUCIA,,
,,ST_LUCIA,,
,,ST_MARIE,,
,,ST_MARTIN,,
,,ST_MARY,,
,,ST_PETER,,
,,ST_PETERSBURG,,
,,ST_PIERRE,,
,,ST_THOMAS,,
,,TEL_AVIV,,
,,TERRE_HAUTE,,
,,TERRE_HAUTE,,
,,TIME0-OUT,,
,,T_A_C,,
,,T_A_C,,
,,U_L,,
,,U_S_M_C,,
,,VAN_GOGH,,
,,V_S,,
,,W00T,,
